Date,Units
2025-06-11,4762294
2025-06-12,4763747
2025-06-15,4770201
2025-06-16,4770383
2025-06-17,4780031
2025-06-18,4784207
2025-06-19,4788141
2025-06-22,4791304
2025-06-23,4794193
2025-06-24,4801146
2025-06-25,4808017
2025-06-26,4800917
2025-06-29,4811505
2025-06-30,4817303
2025-07-01,4834225
2025-07-02,4845217
2025-07-03,4845462
2025-07-06,4852965
2025-07-07,4966329
2025-07-08,4992866
2025-07-09,4993921
2025-07-10,4993705
2025-07-13,5019263
2025-07-14,5046484
2025-07-15,5064263
2025-07-16,5067520
2025-07-17,5087373
2025-07-20,5086711
2025-07-21,5076937
2025-07-22,5091792
2025-07-23,5092593
2025-07-24,5100602
2025-07-27,5125882
2025-07-28,5124882
2025-07-29,5122241
2025-07-30,5121262
2025-07-31,5085650
2025-08-04,5084724
2025-08-05,5085937
2025-08-06,5078069
2025-08-07,5089693
2025-08-10,5112370
2025-08-11,5129768
2025-08-12,5124068
2025-08-13,5127998
2025-08-14,5139459
2025-08-17,5139539
2025-08-18,5142233
2025-08-19,5152233
2025-08-20,5154718
2025-08-21,5163359
2025-08-24,5162364
2025-08-25,5163264
2025-08-26,5164655
2025-08-27,5172188
2025-08-28,5176087
2025-08-31,5197610
2025-09-01,5197561
2025-09-02,5194008
2025-09-03,5196788
2025-09-04,5209461
2025-09-07,5207175
2025-09-08,5209675
2025-09-09,5191570
2025-09-10,5198583
2025-09-11,5194590
2025-09-14,5196447
2025-09-15,5198199
2025-09-16,5234847
2025-09-17,5213303
2025-09-18,5193491
2025-09-21,5197150
2025-09-25,5193005
2025-09-28,5200941
2025-09-29,5200988
2025-09-30,5252313
2025-10-05,5262932
2025-10-08,5313890
2025-10-09,5314543
2025-10-12,5329838
2025-10-15,5363278
2025-10-16,5395537
2025-10-19,5413525
2025-10-20,5429300
2025-10-21,5445049
2025-10-22,5450181
2025-10-23,5457726
2025-10-26,5475499
2025-10-27,5478265
2025-10-28,5517884
2025-10-29,5528818
2025-10-30,5546179
2025-11-02,5562807
2025-11-03,5572498
2025-11-04,5585427
2025-11-05,5590301
2025-11-06,5592379
2025-11-09,5606004
2025-11-10,5610730
2025-11-11,5663901
2025-11-12,5650103
2025-11-13,5646796
2025-11-16,5644276
2025-11-17,5648700
2025-11-18,5669833
2025-11-19,5693709
2025-11-20,5698404
2025-11-23,5690862
2025-11-24,5698982
2025-11-25,5707902
2025-11-26,5704924
2025-11-27,5700335
2025-11-30,5692381
2025-12-01,5703229
2025-12-02,5700978
2025-12-03,5714346
2025-12-04,5742773
2025-12-07,5755342
2025-12-08,5763512
2025-12-09,5771437
2025-12-10,5762572
2025-12-11,5765437
2025-12-14,5795632
2025-12-15,5810262
2025-12-16,5816975
2025-12-17,5822467
2025-12-18,5832963
2025-12-21,5843279
2025-12-22,5851424
2025-12-23,5877641
2025-12-24,5904656
2025-12-25,5930969
2025-12-28,5934414
2025-12-29,5939546
2025-12-30,5953812
2025-12-31,5942692
2026-01-01,5994920
2026-01-05,6026608
2026-01-06,6035831
2026-01-07,6064063
2026-01-08,6119954
2026-01-09,6193308
2026-01-12,6194295
2026-01-13,6214559
2026-01-14,6255492
2026-01-15,6292181
2026-01-16,6337718
2026-01-19,6352886
2026-01-20,6377081
2026-01-21,6397802
2026-01-22,6411785
2026-01-23,6433383
2026-01-26,6444829
2026-01-27,6474229
2026-01-28,6500163
2026-01-29,6554996
2026-01-30,6590901
2026-02-02,6587666
2026-02-03,6591550
2026-02-04,6611505
2026-02-05,6784578
2026-02-06,6790357
2026-02-09,6759029
2026-02-10,6777353
2026-02-11,6796770
2026-02-12,6795990
2026-02-13,6788760
2026-02-16,6781340
2026-02-17,6771482
2026-02-18,6765726
2026-02-19,6770627
2026-02-20,6758533
2026-02-23,6761786
2026-02-24,6764280
2026-02-25,6770366
2026-02-26,6764887
2026-02-27,6777519
2026-03-02,6788129
2026-03-04,6796357
2026-03-05,6806746
2026-03-06,6824580
2026-03-09,6852298.0
2026-03-10,6842444.0
2026-03-11,6866969.0
2026-03-12,6795551.0
2026-03-13,6792640.0
2026-03-16,6792526.0
2026-03-17,6790279.0
2026-03-18,6834410.0
2026-03-19,6855016.0
2026-03-20,6863723.0
2026-03-23,6881513.0
2026-03-24,6917337.0
2026-03-25,6909953.0
2026-03-26,6932532.0
2026-03-27,6940415.0
2026-03-30,6938925.0
2026-03-31,6916183.0
2026-04-03,6929314.0
2026-04-06,6930583.0
