Date,Units,Assets
2023-04-18,146887365,4236232.00
2023-04-19,146892570,4274574.00
2023-04-20,146733365,4242062.00
2023-04-23,147722488,4313497.00
2023-04-24,147661264,4356007.00
2023-04-27,147686833,4451281.00
2023-04-30,147701741,4496041.00
2023-05-01,148603556,4492285.00
2023-05-02,148578120,4501917.00
2023-05-03,148550975,4590225.00
2023-05-04,148450083,4547026.00
2023-05-07,148125457,4606702.00
2023-05-08,148094098,4521313.00
2023-05-09,148060935,4502533.00
2023-05-10,148040010,4618848.00
2023-05-11,147947720,4703258.00
2023-05-14,148016069,4641784.00
2023-05-15,148021409,4637511.00
2023-05-16,148008728,4678556.00
2023-05-17,147994873,4814273.00
2023-05-18,148246571,4801706.00
2023-05-21,148384326,4749782.00
2023-05-22,148360655,4660008.00
2023-05-23,148069336,4609398.00
2023-05-24,148066615,4635966.00
2023-05-28,148035267,4660150.00
2023-05-29,148052412,4644404.00
2023-05-30,148032277,4529788.00
2023-05-31,147974329,4431831.00
2023-06-01,148084774,4408484.00
2023-06-04,148251873,4557263.00
2023-06-05,148393102,4560120.00
2023-06-06,148420191,4555016.00
2023-06-07,148420125,4698981.00
2023-06-08,148625722,4761968.00
2023-06-11,148600398,4820597.00
2023-06-12,148293971,4807691.00
2023-06-13,148214758,4772515.00
2023-06-14,148135753,4672202.00
2023-06-15,147953467,4733031.00
2023-06-18,147574467,4657450.00
2023-06-19,147576056,4627985.00
2023-06-20,147572410,4713463.00
2023-06-21,147544034,4697802.00
2023-06-22,147518670,4680767.00
2023-06-25,147527267,4588098.00
2023-06-26,147527185,4591046.00
2023-06-27,147515892,4578893.00
2023-06-28,147479559,4568917.00
2023-06-29,147524151,4573249.00
2023-07-02,147516652,4611371.00
2023-07-03,147516807,4584822.00
2023-07-04,147531704,4602989.00
2023-07-05,147416625,4661314.00
2023-07-06,147229956,4659828.00
2023-07-09,147088433,4564154.00
2023-07-10,147079808,4560945.00
2023-07-11,147077876,4652073.00
2023-07-12,147050286,4807074.00
2023-07-13,147105046,4860351.00
2023-07-16,147092956,4773166.00
2023-07-17,147082737,4746360.00
2023-07-18,147076416,4919706.00
2023-07-19,147058287,5095570.00
2023-07-20,147100117,5048476.00
2023-07-23,146991085,5110880.00
2023-07-24,146913189,4902493.00
2023-07-25,146420981,4695721.00
2023-07-26,146947827,4863973.00
2023-07-30,146908057,4828868.00
2023-07-31,146929474,4853081.00
2023-08-01,147078755,4897723.00
2023-08-02,147911038,4873669.00
2023-08-03,147914501,4866387.00
2023-08-06,147920650,4859193.00
2023-08-07,147917872,4878331.00
2023-08-08,147936277,4776862.00
2023-08-09,147990175,4883676.00
2023-08-10,148645610,4893413.00
2023-08-13,149575662,4879158.00
2023-08-14,149550765,4857409.00
2023-08-15,149579529,4891251.00
2023-08-16,149115100,4874573.00
2023-08-17,149087772,4836407.00
2023-08-20,149054784,4829375.00
2023-08-21,149053240,4917266.00
2023-08-22,148606504,4948597.00
2023-08-23,148595711,4896229.00
2023-08-24,148376584,4891976.00
2023-08-27,148396392,4937148.00
2023-08-28,148353179,4926809.00
2023-08-29,148340623,4871506.00
2023-08-30,148298484,4904231.00
2023-08-31,148288409,4886103.00
2023-09-03,148274183,4869324.00
2023-09-04,148263753,4750371.00
2023-09-05,147178924,4833356.00
2023-09-06,147218804,4777250.00
2023-09-07,147182251,4711304.00
2023-09-10,147171964,4740409.00
2023-09-11,147154218,4866390.00
2023-09-12,147201887,4901823.00
2023-09-13,147144924,4851368.00
2023-09-14,147092094,4895225.00
2023-09-18,147106382,4919237.00
2023-09-19,147096524,4930675.00
2023-09-20,147244363,4962135.00
2023-09-21,147196538,5076809.00
2023-09-26,147142059,5057273.00
2023-09-27,147159266,5125557.00
2023-09-28,147130452,5206947.00
2023-10-01,147127652,5299538.00
2023-10-02,147135601,5224785.00
2023-10-03,147137447,5214551.00
2023-10-04,147128764,5220129.00
2023-10-05,147079275,5221314.00
2023-10-08,147059879,4827976.00
2023-10-09,147886712,4865473.00
2023-10-10,147933935,4819688.00
2023-10-11,147993231,4712104.00
2023-10-12,148071667,4671661.00
2023-10-15,148318801,4468845.00
2023-10-16,148309234,4599069.00
2023-10-17,148207423,4563307.00
2023-10-18,148214919,4566502.00
2023-10-19,148205967,4441733.00
2023-10-22,148234984,4364038.00
2023-10-23,148116137,4228716.00
2023-10-24,147930378,4278147.00
2023-10-25,148024697,4311959.00
2023-10-26,148085591,4298925.00
2023-10-29,148158218,4428449.00
2023-10-30,148227783,4599508.00
2023-10-31,148336604,4497566.00
2023-11-01,148339137,4561428.00
2023-11-02,148399909,4627109.00
2023-11-05,148367696,4808597.00
2023-11-06,148254591,4753042.00
2023-11-07,148282840,4823641.00
2023-11-08,148289900,4826836.00
2023-11-09,148305762,4828836.00
2023-11-12,148289938,4718586.00
2023-11-13,148339144,4626698.00
2023-11-14,148319160,4710617.00
2023-11-15,148345267,4662492.00
2023-11-16,152457935,4802425.00
2023-11-19,152459846,4790288.00
2023-11-20,152441538,4833921.00
2023-11-21,152474629,4879188.00
2023-11-22,152449180,5050641.00
2023-11-23,152543420,5067492.00
2023-11-26,152560181,5077203.00
2023-11-27,152519158,4958398.00
2023-11-28,152483719,5006040.00
2023-11-29,152543180,5081213.00
