Date,Units,Assets
2022-12-01,1209333,107522.00
2022-12-04,1209062,107546.00
2022-12-05,1208951,107476.00
2022-12-06,1193183,104606.00
2022-12-07,1192940,102426.00
2022-12-08,1192375,101578.00
2022-12-11,1195002,101276.00
2022-12-12,1194143,100965.00
2022-12-13,1165362,100163.00
2022-12-14,1160134,98136.00
2022-12-15,1164403,98392.00
2022-12-18,1155965,97009.00
2022-12-19,1155052,97313.00
2022-12-20,1153355,96109.00
2022-12-21,1151667,95704.00
2022-12-22,1152868,94293.00
2022-12-25,1152133,91733.00
2022-12-26,1148746,91911.00
2022-12-27,1148612,92819.00
2022-12-28,1187210,94953.00
2022-12-29,1191168,95806.00
2023-01-01,1184324,95054.00
2023-01-02,1137194,92806.00
2023-01-03,1131095,93553.00
2023-01-04,1129247,93106.00
2023-01-05,1128951,93172.00
2023-01-08,1127940,95198.00
2023-01-09,1128241,95946.00
2023-01-10,1127970,95923.00
2023-01-11,1126897,96451.00
2023-01-12,1126874,97046.00
2023-01-15,1125494,98706.00
2023-01-16,1126667,99057.00
2023-01-17,1126622,99560.00
2023-01-18,1126482,100336.00
2023-01-19,1125820,98701.00
2023-01-22,1125054,97936.00
2023-01-23,1125752,97254.00
2023-01-24,1126178,96739.00
2023-01-25,1126607,95750.00
2023-01-26,1123388,91331.00
2023-01-29,1121703,88401.00
2023-01-30,1126337,90332.00
2023-01-31,1124050,91509.00
2023-02-01,1123823,91614.00
2023-02-02,1102805,93286.00
2023-02-05,1098091,92723.00
2023-02-06,1093488,91984.00
2023-02-07,1090158,90734.00
2023-02-08,1089466,90197.00
2023-02-09,1089351,89621.00
2023-02-12,1087237,86501.00
2023-02-13,1073555,86196.00
2023-02-14,1071729,85803.00
2023-02-15,2139423,171967.00
2023-02-16,2137298,166111.00
2023-02-19,2094053,162980.00
2023-02-20,2090789,162266.00
2023-02-21,2077426,154851.00
2023-02-22,2071379,150838.00
2023-02-23,2065830,148926.00
2023-02-26,2064360,142978.00
2023-02-27,2076429,146513.00
2023-02-28,2179987,152948.00
2023-03-01,2183046,155869.00
2023-03-02,2179310,152290.00
2023-03-05,2188579,155827.00
2023-03-06,2196263,161008.00
2023-03-08,2193391,160315.00
2023-03-09,2175613,160647.00
2023-03-12,2178184,152691.00
2023-03-13,2172657,149892.00
2023-03-14,2175770,155089.00
2023-03-15,2175198,153612.00
2023-03-16,2174742,149296.00
2023-03-19,2172733,150722.00
2023-03-20,2173714,154573.00
2023-03-21,2173990,156375.00
2023-03-22,2165593,155425.00
2023-03-23,2167328,159450.00
2023-03-26,2157352,155437.00
2023-03-27,2144768,157898.00
2023-03-28,2150837,154968.00
2023-03-29,2138357,150070.00
2023-03-30,2140981,149226.00
2023-04-02,2140982,153551.00
2023-04-03,2158433,153098.00
2023-04-04,2156869,153246.00
2023-04-09,2141529,152798.00
2023-04-10,2138595,154642.00
2023-04-13,2140456,152058.00
2023-04-16,2130779,151477.00
2023-04-17,2128733,148415.00
2023-04-18,2133833,148408.00
2023-04-19,2146789,148043.00
2023-04-20,2145236,147528.00
2023-04-23,2126504,147877.00
2023-04-24,2128504,148272.00
